experiment,experiment_dir,model,category,gpu_name,auroc,aupr,f1,mean_latency_ms,_report_mtime_ns,_report_size
coldstart_padim_real_iad_porcelain_doll,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_porcelain_doll,padim,porcelain_doll,NVIDIA L4,0.4427075075836847,0.7252843408361095,0.0190839694656488,3.5023949285810625,1779123335964320800,2573
coldstart_padim_real_iad_regulator,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_regulator,padim,regulator,NVIDIA L4,0.7990731065443709,0.9160447713072892,0.6840796019900497,3.546835251380445,1779123337094384000,2558
coldstart_padim_real_iad_rolled_strip_base,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_rolled_strip_base,padim,rolled_strip_base,NVIDIA L4,0.971245089599351,0.9873074639614818,0.8395061728395061,3.5509561957778586,1779123341520972600,2578
coldstart_padim_real_iad_sim_card_set,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_sim_card_set,padim,sim_card_set,NVIDIA L4,0.8693529786049471,0.9176513045681524,0.0385356454720616,3.505296898012046,1779123336722576400,2569
coldstart_padim_real_iad_switch,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_switch,padim,switch,NVIDIA L4,0.8008868243243243,0.9067308980041022,0.0304182509505703,3.5624581436576603,1779123341339241100,2541
coldstart_padim_real_iad_tape,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_tape,padim,tape,NVIDIA L4,0.7828942307692307,0.8851291386971658,0.077634011090573,3.525439854171787,1779123339317155300,2536
coldstart_padim_real_iad_terminalblock,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_terminalblock,padim,terminalblock,NVIDIA L4,0.5230519115346468,0.7852017760870791,0.2131979695431472,3.550002280287796,1779123339954234800,2571
coldstart_padim_real_iad_toothbrush,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_toothbrush,padim,toothbrush,NVIDIA L4,0.3929811507936508,0.7012374730909647,0.0855018587360594,3.574779231097476,1779123339391479400,2555
coldstart_padim_real_iad_toy,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_toy,padim,toy,NVIDIA L4,0.6146344370071702,0.7963893045758297,0.1418181818181818,3.5595922482190474,1779123340044155200,2550
coldstart_padim_real_iad_toy_brick,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_toy_brick,padim,toy_brick,NVIDIA L4,0.7290876825038316,0.8527785928131282,0.1148148148148148,3.520771283490214,1779123335741259500,2562
coldstart_padim_real_iad_transistor1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_transistor1,padim,transistor1,NVIDIA L4,0.6220141082439373,0.8491821898544669,0.1335807050092764,3.507602982863968,1779123334928423800,2552
coldstart_padim_real_iad_u_block,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_u_block,padim,u_block,NVIDIA L4,0.5571545100250753,0.7644909908618887,0.0948766603415559,3.6033563381034064,1779123341743538600,2558
coldstart_padim_real_iad_usb,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_usb,padim,usb,NVIDIA L4,0.2153314028314028,0.6287142313072087,0.0561797752808988,3.5307015535053465,1779123341162770800,2542
coldstart_padim_real_iad_usb_adaptor,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_usb_adaptor,padim,usb_adaptor,NVIDIA L4,0.7905732162911691,0.892994188878802,0.1047120418848167,3.720016095306153,1779123339539183100,2565
